t,true_x,true_y,true_theta,dr_x,dr_y,dr_theta,ekf_x,ekf_y,ekf_theta,ekf_var_x,ekf_var_y,ekf_var_theta,enc_v,enc_omega,imu_yaw,n_lidar_clusters,min_obstacle_range
4.1500,6.71360,4.85140,0.51273,6.71421,4.84881,0.51342,6.71183,4.85282,0.51550,3.223301e-03,3.038874e-03,9.816535e-05,1.12600,-0.02147,0.49819,4,4.80263
4.2000,6.76327,4.87936,0.51278,6.76296,4.87630,0.51468,6.76069,4.88011,0.51651,3.232003e-03,3.046984e-03,9.815417e-05,1.11950,0.02526,0.51025,3,4.84912
4.2500,6.81294,4.90732,0.51282,6.81234,4.90423,0.51232,6.81000,4.90816,0.51418,3.240752e-03,3.055246e-03,9.814385e-05,1.13450,-0.04722,0.51493,3,4.88593
4.3000,6.86261,4.93529,0.51287,6.86148,4.93186,0.51556,6.85931,4.93548,0.51707,3.249483e-03,3.063435e-03,9.813432e-05,1.12750,0.06482,0.50856,3,4.90519
4.3500,6.91228,4.96326,0.51290,6.91172,4.96034,0.51290,6.90972,4.96363,0.51408,3.258296e-03,3.071906e-03,9.812553e-05,1.15500,-0.05332,0.50597,3,4.92209
4.4000,6.96194,4.99123,0.51294,6.96069,4.98791,0.51344,6.95876,4.99108,0.51446,3.267019e-03,3.080061e-03,9.811741e-05,1.12400,0.01080,0.51051,3,4.97532
4.4500,7.01161,5.01920,0.51297,7.00966,5.01553,0.51868,7.00796,5.01828,0.51930,3.275742e-03,3.088222e-03,9.810992e-05,1.12450,0.10477,0.50973,3,4.96382
4.5000,7.06127,5.04718,0.51301,7.05945,5.04395,0.52322,7.05765,5.04688,0.52398,3.284529e-03,3.096612e-03,9.810300e-05,1.14650,0.09096,0.52716,3,5.02984
4.5500,7.11093,5.07515,0.51303,7.10889,5.07247,0.52025,7.10701,5.07554,0.52109,3.293294e-03,3.104958e-03,9.809662e-05,1.14150,-0.05957,0.52318,3,5.06587
4.6000,7.16059,5.10313,0.51306,7.15722,5.10015,0.52370,7.15543,5.10306,0.52436,3.301977e-03,3.113023e-03,9.809073e-05,1.11400,0.06900,0.51990,4,5.09092
4.6500,7.21026,5.13111,0.51308,7.20610,5.12838,0.52537,7.20434,5.13124,0.52596,3.310703e-03,3.121244e-03,9.808529e-05,1.12900,0.03347,0.52434,3,5.08742
4.7000,7.25992,5.15909,0.51311,7.25598,5.15730,0.52463,7.25506,5.15863,0.52392,3.319505e-03,3.129708e-03,9.808027e-05,1.15300,-0.01474,0.49192,5,5.13272
4.7500,7.30958,5.18707,0.51313,7.30581,5.18614,0.52231,7.30495,5.18736,0.52154,3.328306e-03,3.138156e-03,9.807563e-05,1.15150,-0.04638,0.51991,3,5.15414
4.8000,7.35924,5.21505,0.51315,7.35382,5.21377,0.52159,7.35357,5.21391,0.51993,3.336972e-03,3.146162e-03,9.807135e-05,1.10800,-0.01446,0.49824,3,5.17962
4.8500,7.40889,5.24303,0.51316,7.40145,5.24114,0.52216,7.40171,5.24034,0.51978,3.345610e-03,3.154070e-03,9.806740e-05,1.09850,0.01142,0.50220,3,5.20569
4.9000,7.45855,5.27101,0.51318,7.45003,5.26910,0.52657,7.45074,5.26749,0.52361,3.354320e-03,3.162205e-03,9.806376e-05,1.12100,0.08820,0.50934,3,5.25061
4.9500,7.50821,5.29900,0.51319,7.50056,5.29847,0.52722,7.50147,5.29652,0.52410,3.363181e-03,3.170830e-03,9.806039e-05,1.16900,0.01304,0.52017,3,5.24477
5.0000,7.55787,5.32698,0.51321,7.54980,5.32714,0.52607,7.55157,5.32365,0.52178,3.371946e-03,3.179158e-03,9.805729e-05,1.13950,-0.02297,0.49315,3,5.30900
5.0500,7.60752,5.35497,0.51322,7.59818,5.35523,0.52687,7.60052,5.35073,0.52190,3.380649e-03,3.187277e-03,9.805442e-05,1.11900,0.01592,0.50542,3,5.27357
5.1000,7.65718,5.38295,0.51323,7.64698,5.38362,0.52843,7.64976,5.37833,0.52301,3.389384e-03,3.195496e-03,9.805177e-05,1.12900,0.03120,0.51177,3,5.23199
5.1500,7.70684,5.41094,0.51324,7.69637,5.41246,0.52476,7.69975,5.40611,0.51868,3.398168e-03,3.203870e-03,9.804933e-05,1.14400,-0.07335,0.50253,3,5.25645
