t,true_x,true_y,true_theta,dr_x,dr_y,dr_theta,ekf_x,ekf_y,ekf_theta,ekf_var_x,ekf_var_y,ekf_var_theta,enc_v,enc_omega,imu_yaw,n_lidar_clusters,min_obstacle_range
5.4500,8.10883,5.37454,0.46872,8.09926,5.37894,0.47155,8.10370,5.36983,0.46484,3.456881e-03,3.248770e-03,9.803815e-05,1.14000,-0.03728,0.46055,3,5.32803
5.5000,8.15968,5.40029,0.46873,8.15029,5.40496,0.47149,8.15458,5.39613,0.46529,3.465718e-03,3.257118e-03,9.803675e-05,1.14550,-0.00114,0.47778,3,5.36272
5.5500,8.21053,5.42604,0.46873,8.20067,5.43064,0.46109,8.20479,5.42216,0.45542,3.474515e-03,3.265311e-03,9.803546e-05,1.13100,-0.20815,0.46855,3,5.37925
5.6000,8.26138,5.45179,0.46874,8.25131,5.45580,0.45945,8.25523,5.44772,0.45435,3.483322e-03,3.273493e-03,9.803428e-05,1.13100,-0.03265,0.46804,3,5.41029
5.6500,8.31224,5.47754,0.46874,8.30271,5.48123,0.46020,8.30667,5.47307,0.45524,3.492173e-03,3.281847e-03,9.803318e-05,1.14700,0.01500,0.45880,4,5.43374
5.7000,8.36309,5.50329,0.46874,8.35363,5.50647,0.45990,8.35700,5.49947,0.45609,3.500994e-03,3.290090e-03,9.803216e-05,1.13650,-0.00608,0.48424,3,5.40228
5.7500,8.41394,5.52904,0.46875,8.40455,5.53169,0.46234,8.40777,5.52500,0.45893,3.509815e-03,3.298334e-03,9.803123e-05,1.13650,0.04879,0.46886,3,5.40794
5.8000,8.46479,5.55479,0.46875,8.45610,5.55739,0.46328,8.45929,5.55075,0.46007,3.518675e-03,3.306749e-03,9.803037e-05,1.15200,0.01879,0.46479,3,5.31133
5.8500,8.51564,5.58054,0.46875,8.50727,5.58295,0.46393,8.51097,5.57530,0.46003,3.527513e-03,3.315080e-03,9.802957e-05,1.14400,0.01302,0.44318,3,5.26901
5.9000,8.56649,5.60629,0.46876,8.55755,5.60811,0.46723,8.56096,5.60103,0.46395,3.536298e-03,3.323199e-03,9.802883e-05,1.12450,0.06596,0.47931,4,5.18456
5.9500,8.61735,5.63204,0.46876,8.60929,5.63421,0.46948,8.61260,5.62732,0.46649,3.545172e-03,3.331696e-03,9.802815e-05,1.15900,0.04500,0.47361,3,5.15573
6.0000,8.66820,5.65779,0.46876,8.66012,5.66000,0.46748,8.66388,5.65222,0.46390,3.553992e-03,3.339991e-03,9.802753e-05,1.14000,-0.03993,0.44917,3,5.13190
6.0500,8.71905,5.68355,0.46876,8.71152,5.68594,0.46285,8.71502,5.67868,0.45982,3.562847e-03,3.348409e-03,9.802695e-05,1.15150,-0.09271,0.47367,4,5.07447
6.1000,8.76990,5.70930,0.46877,8.76197,5.71111,0.46728,8.76521,5.70435,0.46479,3.571640e-03,3.356561e-03,9.802641e-05,1.12750,0.08858,0.47783,3,5.01928
6.1500,8.82075,5.73505,0.46877,8.81381,5.73727,0.46543,8.81661,5.73142,0.46378,3.580521e-03,3.365089e-03,9.802592e-05,1.16150,-0.03683,0.48435,3,4.92180
6.2000,8.87160,5.76080,0.46877,8.86341,5.76218,0.46625,8.86585,5.75704,0.46524,3.589262e-03,3.373056e-03,9.802546e-05,1.11000,0.01633,0.48089,3,4.89867
6.2500,8.92245,5.78655,0.46877,8.91348,5.78738,0.46352,8.91590,5.78227,0.46257,3.598032e-03,3.381144e-03,9.802504e-05,1.12100,-0.05460,0.46415,3,4.88407
6.3000,8.97330,5.81231,0.46877,8.96348,5.81237,0.45757,8.96566,5.80775,0.45706,3.606797e-03,3.389197e-03,9.802466e-05,1.11800,-0.11892,0.46765,3,4.78512
6.3500,9.02416,5.83806,0.46877,9.01356,5.83703,0.45311,9.01541,5.83308,0.45315,3.615564e-03,3.397226e-03,9.802430e-05,1.11650,-0.08937,0.46686,2,4.77563
6.4000,9.07501,5.86381,0.46878,9.06535,5.86225,0.45450,9.06669,5.85930,0.45535,3.624429e-03,3.405639e-03,9.802397e-05,1.15200,0.02779,0.47532,2,4.68575
6.4500,9.12586,5.88956,0.46878,9.11645,5.88722,0.45382,9.11777,5.88432,0.45469,3.633253e-03,3.413896e-03,9.802366e-05,1.13750,-0.01342,0.45479,3,4.67073
6.5000,9.17671,5.91531,0.46878,9.16755,5.91214,0.45085,9.16815,5.91068,0.45284,3.642077e-03,3.422148e-03,9.802338e-05,1.13700,-0.05946,0.48043,2,4.61600
6.5500,9.22756,5.94107,0.46878,9.21912,5.93711,0.44669,9.21916,5.93678,0.44951,3.650926e-03,3.430496e-03,9.802312e-05,1.14600,-0.08322,0.46975,3,4.54019
6.6000,9.27841,5.96682,0.46878,9.27125,5.96208,0.44984,9.27096,5.96242,0.45308,3.659804e-03,3.438951e-03,9.802288e-05,1.15600,0.06299,0.46345,3,4.51970
6.6500,9.32926,5.99257,0.46878,9.32159,5.98638,0.44716,9.32051,5.98830,0.45154,3.668578e-03,3.446994e-03,9.802266e-05,1.11800,-0.05355,0.47951,2,4.45670
6.7000,9.38011,6.01832,0.46878,9.37251,6.01080,0.44564,9.37054,6.01453,0.45130,3.677385e-03,3.455162e-03,9.802245e-05,1.12950,-0.03037,0.48267,2,4.40378
6.7500,9.43096,6.04408,0.46878,9.42426,6.03552,0.44866,9.42202,6.03981,0.45454,3.686238e-03,3.463520e-03,9.802227e-05,1.14700,0.06040,0.45973,3,4.32682
6.8000,9.48181,6.06983,0.46878,9.47514,6.06002,0.44834,9.47260,6.06492,0.45446,3.695041e-03,3.471691e-03,9.802209e-05,1.12950,-0.00646,0.46061,3,4.30817
6.8500,9.53266,6.09558,0.46878,9.52723,6.08508,0.44575,9.52413,6.09110,0.45253,3.703915e-03,3.480152e-03,9.802193e-05,1.15600,-0.05181,0.46855,3,4.25298
6.9000,9.58351,6.12133,0.46878,9.57993,6.11025,0.44889,9.57614,6.11767,0.45650,3.712822e-03,3.488745e-03,9.802178e-05,1.16800,0.06284,0.47695,2,4.18551
6.9500,9.63437,6.14709,0.46878,9.63198,6.13533,0.44491,9.62775,6.14365,0.45293,3.721693e-03,3.497204e-03,9.802164e-05,1.15550,-0.07964,0.46283,3,4.16590
