t,true_x,true_y,true_theta,dr_x,dr_y,dr_theta,ekf_x,ekf_y,ekf_theta,ekf_var_x,ekf_var_y,ekf_var_theta,enc_v,enc_omega,imu_yaw,n_lidar_clusters,min_obstacle_range
3.5000,6.06769,4.48825,0.51151,6.06915,4.48273,0.46867,6.05184,4.51447,0.49086,6.122389e-03,4.420823e-03,4.875769e-04,1.07050,-0.31289,0.54012,11,4.17455
3.5500,6.11739,4.51615,0.51165,6.12109,4.50903,0.46548,6.10369,4.54099,0.48668,6.173595e-03,4.459392e-03,4.875844e-04,1.16450,-0.06376,0.46738,9,4.38094
3.6000,6.16709,4.54406,0.51179,6.17435,4.53579,0.46791,6.15604,4.56948,0.48977,6.225211e-03,4.499004e-03,4.875913e-04,1.19200,0.04871,0.50244,8,4.26133
3.6500,6.21679,4.57198,0.51191,6.22384,4.56079,0.47942,6.20552,4.59454,0.50018,6.275809e-03,4.535347e-03,4.875975e-04,1.10900,0.23009,0.47893,7,4.42614
3.7000,6.26648,4.59990,0.51203,6.27069,4.58515,0.47005,6.25171,4.62014,0.49111,6.325543e-03,4.569800e-03,4.876030e-04,1.05600,-0.18727,0.49681,5,4.44150
3.7500,6.31617,4.62783,0.51213,6.32164,4.61103,0.47589,6.30321,4.64502,0.49474,6.376505e-03,4.607546e-03,4.876081e-04,1.14300,0.11664,0.45178,8,4.47885
3.8000,6.36586,4.65576,0.51223,6.37375,4.63789,0.46736,6.35600,4.67064,0.48385,6.427735e-03,4.646576e-03,4.876127e-04,1.17250,-0.17053,0.43784,10,4.53181
3.8500,6.41554,4.68369,0.51232,6.42529,4.66390,0.47527,6.40693,4.69779,0.49209,6.478992e-03,4.684658e-03,4.876168e-04,1.15450,0.15823,0.49839,9,4.55138
3.9000,6.46523,4.71164,0.51240,6.47824,4.69115,0.50256,6.46104,4.72291,0.51619,6.530505e-03,4.724420e-03,4.876206e-04,1.19100,0.54569,0.45417,11,4.44076
3.9500,6.51491,4.73958,0.51248,6.52368,4.71612,0.50637,6.50502,4.75057,0.52220,6.579610e-03,4.758499e-03,4.876240e-04,1.03700,0.07633,0.56491,12,4.55431
4.0000,6.56458,4.76753,0.51255,6.57516,4.74468,0.51589,6.55399,4.78375,0.53573,6.630304e-03,4.798353e-03,4.876270e-04,1.17750,0.19029,0.61415,13,4.53180
4.0500,6.61426,4.79548,0.51261,6.62425,4.77251,0.51547,6.60273,4.81214,0.53488,6.680066e-03,4.836554e-03,4.876298e-04,1.12850,-0.00838,0.52644,5,4.63112
4.1000,6.66393,4.82344,0.51267,6.67469,4.80109,0.51457,6.65339,4.84027,0.53248,6.730256e-03,4.875972e-03,4.876323e-04,1.15950,-0.01797,0.50308,10,4.52216
4.1500,6.71360,4.85140,0.51273,6.72185,4.82775,0.51030,6.70229,4.86370,0.52391,6.779538e-03,4.912307e-03,4.876346e-04,1.08350,-0.08535,0.44003,9,4.58723
4.2000,6.76327,4.87936,0.51278,6.76799,4.85358,0.51502,6.74879,4.88884,0.52724,6.828710e-03,4.947397e-03,4.876367e-04,1.05750,0.09432,0.50014,10,4.66452
4.2500,6.81294,4.90732,0.51282,6.81668,4.88114,0.50451,6.79698,4.91729,0.51705,6.878580e-03,4.985018e-03,4.876385e-04,1.11900,-0.21010,0.52335,11,4.62935
4.3000,6.86261,4.93529,0.51287,6.86439,4.90748,0.51722,6.84533,4.94247,0.52788,6.928334e-03,5.021244e-03,4.876402e-04,1.09000,0.25409,0.49132,7,4.77974
